Discipline, Perf, Competitor, DOB, Country, Venue, Date
50 Metres, 5.56, Donovan Bailey, 16 DEC 1967, CAN, Reno, NV, 09 FEB 1996
60 Metres, 6.39, Maurice Greene, 23 JUL 1974, USA, Madrid (Palacio de los Deportes), 03 FEB 1998
60 Metres, 6.39, Maurice Greene, 23 JUL 1974, USA, Atlanta (Georgiadome), GA, 03 MAR 2001
200 Metres, 19.92, Frank Fredericks, 02 OCT 1967, NAM, Liévin (Palais des Sports), 18 FEB 1996
400 Metres, 44.57, Kerron Clement, 31 OCT 1985, USA, Fayetteville (Randall Tyson TC), AR, 12 MAR 2005
800 Metres, 1:42.67, Wilson Kipketer, 12 DEC 1972, DEN, Paris-Bercy (Palais Omnisports), 09 MAR 1997
1000 Metres, 2:14.20, Ayanleh Souleiman, 03 DEC 1992, DJI, Stockholm (Globe Arena), 17 FEB 2016
1500 Metres, 3:31.18, Hicham El Guerrouj, 14 SEP 1974, MAR, Stuttgart (Schleyer Halle), 02 FEB 1997
One Mile, 3:48.45, Hicham El Guerrouj, 14 SEP 1974, MAR, Gent, 12 FEB 1997
3000 Metres, 7:24.90, Daniel Komen, 17 MAY 1976, KEN, Budapest, 06 FEB 1998
5000 Metres, 12:49.60, Kenenisa Bekele, 13 JUN 1982, ETH, Birmingham (NIA), GBR, 20 FEB 2004
50 Metres Hurdles, 6.25, Mark McKoy, 10 DEC 1961, CAN, Kobe, 05 MAR 1986
60 Metres Hurdles, 7.30, Colin Jackson, 18 FEB 1967, GBR, Sindelfingen, 06 MAR 1994
High Jump, 2.43, Javier Sotomayor, 13 OCT 1967, CUB, Budapest (Sportcsarnok), 04 MAR 1989
Pole Vault, 6.16, Renaud Lavillenie, 18 SEP 1986, FRA, Donetsk (Sport Palace Druzhba), 15 FEB 2014
Long Jump, 8.79, Carl Lewis, 1 JUL 1961, USA, New York (MSG), NY, 27 JAN 1984
Triple Jump, 17.92, Teddy Tamgho, 15 JUN 1989, FRA, Paris-Bercy (Palais Omnisports), 06 MAR 2011
Triple Jump, 17.92, Teddy Tamgho, 15 JUN 1989, FRA, Paris-Bercy (Palais Omnisports), 06 MAR 2011
Shot Put, 22.66, Randy Barnes, 16 JUN 1966, USA, Los Angeles (LA Sport Arena), CA, 20 JAN 1989
Heptathlon, 6645, Ashton Eaton, 21 JAN 1988, USA, Istanbul (Ataköy Arena), 10 MAR 2012
5000 Metres Race Walk, 18:07.08, Mikhail Shchennikov, 24 DEC 1967, RUS, Moskva, 14 FEB 1995
4x200 Metres Relay, 1:22.11, Great Britain & N.I., , GBR, Glasgow, 03 MAR 1991
4x400 Metres Relay, 3:02.13, United States, , USA, Sopot (Ergo Arena), 09 MAR 2014
4x800 Metres Relay, 7:13.11, USA All Stars, , USA, Boston (Reggie Lewis), MA, 08 FEB 2014
