Discipline, Perf, Wind, Competitor, DOB, Country, Venue, Date
100 Metres, 9.58, +0.9, Usain Bolt, 21 AUG 1986, JAM, Berlin (Olympiastadion), 16 AUG 2009
200 Metres, 19.19, -0.3, Usain Bolt, 21 AUG 1986, JAM, Berlin (Olympiastadion), 20 AUG 2009
400 Metres, 43.03, , Wayde van Niekerk, 15 JUL 1992, RSA, Rio de Janeiro (Estádio Olímpico), 14 AUG 2016
800 Metres, 1:40.91, , David Lekuta Rudisha, 17 DEC 1988, KEN, London (Olympic Stadium), 09 AUG 2012
1000 Metres, 2:11.96, , Noah Ngeny, 02 NOV 1978, KEN, Rieti, 05 SEP 1999
1500 Metres, 3:26.00, , Hicham El Guerrouj, 14 SEP 1974, MAR, Roma (Stadio Olimpico), 14 JUL 1998
One Mile, 3:43.13, , Hicham El Guerrouj, 14 SEP 1974, MAR, Roma (Stadio Olimpico), 07 JUL 1999
2000 Metres, 4:44.79, , Hicham El Guerrouj, 14 SEP 1974, MAR, Berlin (Olympiastadion), 07 SEP 1999
3000 Metres, 7:20.67, , Daniel Komen, 17 MAY 1976, KEN, Rieti, 01 SEP 1996
5000 Metres, 12:37.35, , Kenenisa Bekele, 13 JUN 1982, ETH, Hengelo (Blankers-Koen Stadion), 31 MAY 2004
10,000 Metres, 26:17.53, , Kenenisa Bekele, 13 JUN 1982, ETH, Bruxelles (Boudewijnstadion), 26 AUG 2005
10 Kilometres, 26:44, , Leonard Patrick Komon, 10 JAN 1988, KEN, Utrecht, 26 SEP 2010
15 Kilometres, 41:13, , Leonard Patrick Komon, 10 JAN 1988, KEN, Nijmegen, 21 NOV 2010
20,000 Metres, 56:26.0, , Haile Gebrselassie, 18 APR 1973, ETH, Ostrava, 27 JUN 2007
20 Kilometres, 55:21, , Zersenay Tadese, 08 FEB 1982, ERI, Lisboa, 21 MAR 2010
One Hour, 21.285, , Haile Gebrselassie, 18 APR 1973, ETH, Ostrava, 27 JUN 2007
Half Marathon, 58:23, , Zersenay Tadese, 08 FEB 1982, ERI, Lisboa, 21 MAR 2010
