Discipline, Perf, Wind, Competitor, DOB, Country, Venue, Date
100 Metres, 10.49, 0.0, Florence Griffith-Joyner, 21 DEC 1959, USA, Indianapolis (University Stadium), IN, 16 JUL 1988
200 Metres, 21.34, +1.3, Florence Griffith-Joyner, 21 DEC 1959, USA, Seoul (Olympic Stadium), 29 SEP 1988
400 Metres, 47.60, , Marita Koch, 18 FEB 1957, GDR, Canberra (Bruce Stadium), 06 OCT 1985
800 Metres, 1:53.28, , Jarmila Kratochvílová, 26 JAN 1951, TCH, München (Olympiastadion), 26 JUL 1983
1000 Metres, 2:28.98, , Svetlana Masterkova, 17 JAN 1968, RUS, Bruxelles, 23 AUG 1996
1500 Metres, 3:50.07, , Genzebe Dibaba, 08 FEB 1991, ETH, Monaco (Stade Louis II), 17 JUL 2015
One Mile, 4:12.56, , Svetlana Masterkova, 17 JAN 1968, RUS, Zürich, 14 AUG 1996
2000 Metres, 5:23.75  (i), , Genzebe Dibaba, 08 FEB 1991, ETH, Sabadell (PC Catalunya), 07 FEB 2017
3000 Metres, 8:06.11, , Junxia Wang, 09 JAN 1973, CHN, Beijing (NOCAS), 13 SEP 1993
5000 Metres, 14:11.15, , Tirunesh Dibaba, 01 JUN 1985, ETH, Oslo (Bislett), 06 JUN 2008
10,000 Metres, 29:17.45, , Almaz Ayana, 21 NOV 1991, ETH, Rio de Janeiro (Estádio Olímpico), 12 AUG 2016
10 Kilometres, 29:43* Mx, , Joyciline Jepkosgei, 08 DEC 1993, KEN, Praha, 09 SEP 2017
10 Kilometres, 30:04 Mx, , Joyciline Jepkosgei, 08 DEC 1993, KEN, Praha, 01 APR 2017
10 Kilometres, 30:29 Wo, , Asmae Leghzaoui, 30 AUG 1976, MAR, New York, NY, 08 JUN 2002
15 Kilometres, 45:37 Mx, , Joyciline Jepkosgei, 08 DEC 1993, KEN, Praha, 01 APR 2017
15 Kilometres, 46:59 Wo, , Lornah Kiplagat, 01 MAY 1974, NED, Udine, 14 OCT 2007
20,000 Metres, 1:05:26.6, , Tegla Loroupe, 09 MAY 1973, KEN, Borgholzhausen, 03 SEP 2000
20 Kilometres, 1:01:25 Mx, , Joyciline Jepkosgei, 08 DEC 1993, KEN, Praha, 01 APR 2017
20 Kilometres, 1:02:57 Wo, , Lornah Kiplagat, 01 MAY 1974, NED, Udine, 14 OCT 2007
One Hour, 18.517, , Dire Tune, 19 JUN 1985, ETH, Ostrava, 12 JUN 2008
Half Marathon, 1:04:51* Mx, , Joyciline Jepkosgei, 08 DEC 1993, KEN, Valencia, ESP, 22 OCT 2017
Half Marathon, 1:04:52 Mx, , Joyciline Jepkosgei, 08 DEC 1993, KEN, Praha, 01 APR 2017
Half Marathon, 1:06:25 Wo, , Lornah Kiplagat, 01 MAY 1974, NED, Udine, 14 OCT 2007
25,000 Metres, 1:27:05.9, , Tegla Loroupe, 09 MAY 1973, KEN, Mengerskirchen, 21 SEP 2002
25 Kilometres, 1:19:53 Mx, , Mary Jepkosgei Keitany, 18 JAN 1982, KEN, Berlin, 09 MAY 2010
25 Kilometres, 1:22:47 Wo, , Paula Radcliffe, 17 DEC 1973, GBR, Helsinki, 14 AUG 2005
30,000 Metres, 1:45:50.0, , Tegla Loroupe, 09 MAY 1973, KEN, Warstein, 06 JUN 2003
30 Kilometres, 1:36:05 Wo, , Mary Jepkosgei Keitany, 18 JAN 1982, KEN, London, 23 APR 2017
30 Kilometres, 1:38:19* Mx, , Valary Jemeli Aiyabei, 08 JUN 1991, KEN, Praha, 07 MAY 2017
30 Kilometres, 1:38:42* Mx, , Aberu Kebede, 12 SEP 1986, ETH, Berlin, 25 SEP 2016
30 Kilometres, 1:38:49 Mx, , Mizuki Noguchi, 3 JUL 1978, JPN, Berlin, 25 SEP 2005
Marathon, 2:15:25 Mx, , Paula Radcliffe, 17 DEC 1973, GBR, London, 13 APR 2003
Marathon, 2:17:01 Wo, , Mary Jepkosgei Keitany, 18 JAN 1982, KEN, London, 23 APR 2017
100 Kilometres, 6:33:11, , Tomoe Abe, 13 AUG 1971, JPN, Yubetsu, 25 JUN 2000
3000 Metres Steeplechase, 8:52.78, , Ruth Jebet, 17 NOV 1996, BRN, Paris Saint-Denis (Stade de France), 27 AUG 2016
100 Metres Hurdles, 12.20, +0.3, Kendra Harrison, 18 SEP 1992, USA, London (Olympic Stadium), 22 JUL 2016
400 Metres Hurdles, 52.34, , Yuliya Pechenkina, 21 APR 1978, RUS, Tula (Arsenal Stadium), 08 AUG 2003
High Jump, 2.09, , Stefka Kostadinova, 25 MAR 1965, BUL, Roma (Stadio Olimpico), 30 AUG 1987
Pole Vault, 5.06, , Elena Isinbaeva, 03 JUN 1982, RUS, Zürich (Letzigrund), 28 AUG 2009
Long Jump, 7.52, +1.4, Galina Chistyakova, 26 JUL 1962, URS, Leningrad (Kirov Stadium), 11 JUN 1988
Triple Jump, 15.50, +0.9, Inessa Kravets, 05 OCT 1966, UKR, Göteborg (Ullevi Stadium), 10 AUG 1995
Shot Put, 22.63, , Natalya Lisovskaya, 16 JUL 1962, URS, Moskva (Lenin Stadium), 07 JUN 1987
Discus Throw, 76.80, , Gabriele Reinsch, 23 SEP 1963, GDR, Neubrandenburg (Jahn Sportpark), 09 JUL 1988
Hammer Throw, 82.98, , Anita Włodarczyk, 08 AUG 1985, POL, Warszawa (Stadion Narodowy), 28 AUG 2016
Javelin Throw, 72.28, , Barbora Špotáková, 30 JUN 1981, CZE, Stuttgart (Gottlieb-Daimler Stadion), 13 SEP 2008
Heptathlon, 7291, , Jackie Joyner-Kersee, 03 MAR 1962, USA, Seoul (Olympic Stadium), 24 SEP 1988
Decathlon, 8358, , Austra Skujyte, 12 AUG 1979, LTU, Columbia, MO, 15 APR 2005
10,000 Metres Race Walk, 41:56.23, , Nadezhda Ryashkina, 22 JAN 1967, URS, Seattle, WA, 24 JUL 1990
20,000 Metres Race Walk, 1:26:52.3, , Olimpiada Ivanova, 26 AUG 1970, RUS, Brisbane, 06 SEP 2001
20 Kilometres Race Walk, 1:24:38, , Hong Liu, 12 MAY 1987, CHN, La Coruña, 06 JUN 2015
50 Kilometres Race Walk, 4:05:56, , Inês Henriques, 01 MAY 1980, POR, London (The Mall), 13 AUG 2017
4x100 Metres Relay, 40.82, , United States, , USA, London (Olympic Stadium), 10 AUG 2012
4x200 Metres Relay, 1:27.46, , United States "Blue", , USA, Philadelphia (Franklin Field), PA, 29 APR 2000
4x400 Metres Relay, 3:15.17, , USSR, , URS, Seoul (Olympic Stadium), 01 OCT 1988
4x800 Metres Relay, 7:50.17, , USSR, , URS, Moskva (Luzhniki), 05 AUG 1984
4x1500 Metres Relay, 16:33.58, , Kenya, , KEN, Nassau (T. Robinson Stadium), 24 MAY 2014
Road Relay, 2:11:41, , PR of China, , CHN, Beijing, 28 FEB 1998
Distance Medley Relay, 10:36.50, , United States, , USA, Nassau (T. Robinson Stadium), 02 MAY 2015
